      CASEID, YEAR, CAPPUN, GUNLAW, SEX, ABRAPE, CONFINAN, SATJOB
2006 418,2006,1,0,2,0,2,2
2006 419,2006,0,0,1,0,0,0
2006 420,2006,1,0,1,0,2,0
2006 421,2006,1,1,2,1,0,1
2006 422,2006,0,0,2,0,0,0
2006 423,2006,1,1,2,1,2,1
2006 424,2006,0,0,1,0,0,0
2006 425,2006,1,1,2,1,1,2
2006 426,2006,0,0,2,0,0,0
2006 427,2006,1,1,2,1,0,1
2006 428,2006,2,0,1,0,2,1
2006 429,2006,0,0,2,0,0,0
2006 430,2006,2,1,2,2,0,1
2006 431,2006,8,1,2,1,2,0
2006 432,2006,2,0,1,0,2,0
2006 433,2006,0,0,2,0,0,0
2006 434,2006,2,1,2,2,1,1
2006 435,2006,2,0,2,0,2,0
2006 436,2006,1,2,1,1,1,0
2006 437,2006,0,0,1,0,0,0
2006 438,2006,1,1,2,1,3,2
2006 439,2006,0,0,1,0,0,0
2006 440,2006,1,0,2,0,2,2
2006 441,2006,0,0,1,0,0,0
2006 442,2006,0,0,2,0,0,0
2006 443,2006,0,0,2,0,0,0
2006 444,2006,0,0,2,0,0,0
2006 445,2006,1,2,2,1,2,0
2006 446,2006,0,0,1,0,0,0
2006 447,2006,0,0,1,0,0,0
2006 448,2006,0,0,1,0,0,0
2006 449,2006,2,1,1,9,2,1
2006 450,2006,0,0,2,0,0,0
2006 451,2006,1,0,2,0,1,1
2006 452,2006,0,0,2,0,0,0
2006 453,2006,0,0,2,0,0,0
2006 454,2006,0,0,1,0,0,0
2006 455,2006,0,0,1,0,0,0
2006 456,2006,0,0,2,0,0,0
2006 457,2006,1,0,2,0,1,1
2006 458,2006,1,0,1,0,2,2
2006 459,2006,1,1,2,1,0,2
2006 460,2006,1,1,2,1,1,1
2006 461,2006,8,2,2,1,3,2
2006 462,2006,1,0,2,0,1,2
2006 463,2006,1,2,2,1,2,9
2006 464,2006,0,0,1,0,0,0
2006 465,2006,1,1,2,1,0,2
2006 466,2006,1,0,1,0,3,1
2006 467,2006,0,0,1,0,0,0
2006 468,2006,2,0,2,0,2,9
2006 469,2006,0,0,1,0,0,0
2006 470,2006,1,0,1,0,2,1
2006 471,2006,1,1,1,1,0,3
2006 472,2006,9,0,1,0,2,1
2006 473,2006,1,2,2,1,1,1
2006 474,2006,0,0,2,0,0,0
2006 475,2006,0,0,2,0,0,0
2006 476,2006,8,1,2,1,3,0
2006 477,2006,1,1,2,2,2,1
2006 478,2006,2,1,2,1,2,1
2006 479,2006,0,0,2,0,0,0
2006 480,2006,1,1,2,1,2,1
2006 481,2006,1,0,1,0,1,1
2006 482,2006,1,1,2,1,3,3
2006 483,2006,0,0,1,0,0,0
2006 484,2006,2,1,2,1,0,0
2006 485,2006,0,0,2,0,0,0
2006 486,2006,0,0,2,0,0,0
2006 487,2006,1,1,2,1,0,1
2006 488,2006,1,0,2,0,2,0
2006 489,2006,0,0,2,0,0,0
2006 490,2006,0,0,2,0,0,0
2006 491,2006,1,1,1,1,0,3
2006 492,2006,1,1,2,1,2,0
2006 493,2006,1,0,1,0,2,2
2006 494,2006,0,0,2,0,0,0
2006 495,2006,0,0,2,0,0,0
2006 496,2006,1,1,2,1,0,0
2006 497,2006,1,0,2,0,2,1
2006 498,2006,0,0,2,0,0,0
2006 499,2006,0,0,1,0,0,0
2006 500,2006,1,0,2,0,3,2
2006 501,2006,2,1,2,1,0,1
2006 502,2006,2,1,1,1,0,2
2006 503,2006,0,0,2,0,0,0
2006 504,2006,2,0,2,0,2,2
2006 505,2006,2,1,2,1,0,1
2006 506,2006,1,1,1,1,3,1
2006 507,2006,1,2,2,1,0,0
2006 508,2006,2,1,2,1,0,2
2006 509,2006,1,2,1,1,3,9
2006 510,2006,0,0,2,0,0,0
2006 511,2006,0,0,1,0,0,0
2006 512,2006,2,1,1,1,1,0
2006 513,2006,8,0,1,0,2,2
2006 514,2006,0,0,1,0,0,0
2006 515,2006,0,0,1,0,0,0
2006 516,2006,2,1,2,1,0,2
2006 517,2006,1,2,2,1,1,9
2006 518,2006,1,0,2,0,2,1
2006 519,2006,1,2,1,1,0,2
2006 520,2006,1,1,1,1,0,1
2006 521,2006,2,8,2,1,2,2
2006 522,2006,1,0,2,0,2,1
2006 523,2006,2,2,1,1,3,1
2006 524,2006,1,0,1,0,2,0
2006 525,2006,0,0,2,0,0,0
2006 526,2006,1,1,1,1,3,0
2006 527,2006,1,0,1,0,2,0
2006 528,2006,0,0,2,0,0,0
2006 529,2006,2,1,1,1,0,0
2006 530,2006,1,1,2,1,2,0
2006 531,2006,1,1,2,1,1,9
2006 532,2006,2,0,2,0,2,1
2006 533,2006,0,0,2,0,0,0
2006 534,2006,0,0,2,0,0,0
2006 535,2006,1,1,2,1,2,2
2006 536,2006,1,2,2,1,0,0
2006 537,2006,1,0,1,0,2,0
2006 538,2006,0,0,1,0,0,0
2006 539,2006,0,0,2,0,0,0
2006 540,2006,1,1,1,1,0,1
2006 541,2006,0,0,2,0,0,0
2006 542,2006,1,1,1,1,0,2
2006 543,2006,2,1,2,1,1,1
2006 544,2006,2,0,1,0,2,1
2006 545,2006,1,2,2,1,0,0
2006 546,2006,1,1,1,1,0,2
2006 547,2006,0,0,1,0,0,0
2006 548,2006,1,0,1,0,1,2
2006 549,2006,2,1,1,1,0,3
2006 550,2006,1,1,1,1,2,0
2006 551,2006,1,1,1,1,2,1
2006 552,2006,2,1,1,1,0,1
2006 553,2006,8,1,1,1,0,2
2006 554,2006,2,1,2,1,1,0
2006 555,2006,0,0,1,0,0,0
2006 556,2006,0,0,1,0,0,0
2006 557,2006,2,0,1,0,1,1
2006 558,2006,1,1,2,1,1,1
2006 559,2006,1,0,1,0,2,1
2006 560,2006,0,0,2,0,0,0
2006 561,2006,1,0,2,0,1,1
2006 562,2006,1,1,2,1,0,2
2006 563,2006,0,0,1,0,0,0
2006 564,2006,0,0,2,0,0,0
2006 565,2006,1,2,1,2,0,1
2006 566,2006,0,0,2,0,0,0
2006 567,2006,0,0,1,0,0,0
2006 568,2006,1,1,2,8,0,2
2006 569,2006,0,0,1,0,0,0
2006 570,2006,1,2,1,1,3,1
2006 571,2006,1,0,1,0,1,2
2006 572,2006,2,0,2,0,2,0
2006 573,2006,2,1,2,1,0,0
2006 574,2006,0,0,1,0,0,0
2006 575,2006,2,1,2,1,1,0
2006 576,2006,1,1,1,1,1,0
2006 577,2006,0,0,2,0,0,0
2006 578,2006,1,0,1,0,1,1
2006 579,2006,0,0,1,0,0,0
2006 580,2006,2,0,2,0,2,2
2006 581,2006,1,0,1,0,3,1
2006 582,2006,0,0,1,0,0,0
2006 583,2006,1,2,2,1,2,3
2006 584,2006,0,0,2,0,0,0
2006 585,2006,0,0,2,0,0,0
2006 586,2006,0,0,1,0,0,0
2006 587,2006,0,0,2,0,0,0
2006 588,2006,2,1,1,2,0,3
2006 589,2006,1,1,1,1,0,2
