"F","A","M","E","I","U"
6,37,14,2,"1","0"
6,41,10,2,"1","0"
4,35,19,8,"0","1"
7,41,19,4,"0","1"
8,49,22,7,"0","1"
2,46,24,5,"0","1"
4,43,11,8,"0","1"
4,35,17,7,"0","1"
4,40,21,4,"0","0"
12,44,17,4,"0","0"
7,35,14,4,"0","0"
7,45,18,4,"0","0"
8,42,18,5,"0","0"
9,47,19,5,"0","0"
3,38,15,6,"0","0"
7,37,16,3,"0","0"
9,39,15,0,"1","0"
7,38,18,0,"1","0"
8,40,15,0,"1","0"
0,45,22,4,"0","0"
8,39,19,4,"0","0"
9,43,20,0,"0","0"
5,35,14,2,"0","0"
3,37,24,0,"0","0"
5,44,13,0,"1","0"
11,38,16,0,"1","0"
4,39,23,6,"0","0"
6,38,24,8,"0","0"
0,42,19,8,"0","0"
0,39,18,7,"0","0"
1,36,18,6,"0","0"
3,48,15,5,"1","0"
3,38,18,8,"1","0"
6,42,13,3,"1","0"
7,48,18,1,"1","0"
7,47,22,6,"1","0"
4,38,16,0,"1","0"
4,43,18,5,"1","0"
7,38,16,0,"1","0"
5,40,23,8,"1","0"
6,37,15,6,"1","0"
5,37,14,0,"1","0"
8,47,14,0,"1","0"
8,42,13,5,"1","0"
6,37,20,0,"1","0"
7,40,20,8,"1","0"
8,40,17,0,"1","0"
3,38,16,4,"0","0"
3,43,17,3,"1","1"
5,38,13,5,"1","1"
4,40,15,7,"1","1"
7,37,13,8,"1","1"
6,38,16,4,"1","1"
5,44,15,5,"1","1"
2,43,22,5,"0","1"
5,39,19,5,"0","1"
9,44,19,5,"0","1"
0,48,18,4,"0","1"
10,42,10,0,"1","1"
0,40,34,8,"0","1"
0,44,16,10,"0","1"
2,37,15,8,"0","1"
3,35,16,6,"0","1"
1,36,15,8,"0","1"
2,39,13,6,"0","1"
3,39,16,4,"0","1"
3,43,13,6,"0","1"
3,38,17,5,"0","1"
7,48,17,8,"0","0"
6,37,23,5,"0","0"
3,40,36,7,"0","1"
9,46,17,2,"0","1"
6,46,18,7,"0","1"
1,41,18,3,"0","1"
6,42,22,5,"0","1"
7,43,19,5,"0","1"
7,40,17,7,"0","1"
4,38,21,7,"0","1"
7,38,21,8,"0","1"
1,37,22,5,"0","1"
10,41,15,6,"0","1"
6,46,13,5,"0","1"
7,38,17,8,"0","1"
6,39,24,6,"0","1"
8,35,21,7,"0","1"
10,43,24,8,"0","1"
6,41,17,7,"0","1"
5,41,26,4,"0","1"
4,43,12,2,"0","1"
5,39,20,3,"0","1"
0,39,19,7,"0","1"
7,40,21,4,"0","1"
2,38,18,3,"1","1"
5,37,16,5,"1","1"
9,36,14,0,"1","1"
11,47,15,3,"1","1"
0,40,12,0,"1","1"
5,44,21,14,"1","1"
6,38,13,4,"1","1"
7,42,14,0,"1","1"
9,45,12,0,"1","1"
8,47,15,0,"1","1"
5,39,17,7,"1","1"
10,48,12,0,"1","1"
1,40,20,8,"0","1"
5,47,26,6,"0","1"
5,36,16,5,"0","0"
0,46,10,7,"0","1"
5,46,17,6,"0","1"
7,43,10,7,"0","1"
0,38,22,7,"0","1"
6,41,27,7,"0","0"
5,47,19,6,"0","1"
5,37,22,8,"0","1"
0,39,24,6,"0","1"
5,38,14,6,"0","1"
0,38,23,8,"0","1"
4,42,18,3,"1","1"
5,37,14,0,"1","1"
0,46,16,0,"1","1"
6,36,24,3,"1","1"
10,49,16,3,"1","1"
3,39,25,7,"1","1"
3,46,12,5,"1","1"
5,35,13,3,"1","1"
2,43,16,0,"1","1"
8,41,16,2,"1","1"
3,36,21,6,"1","1"
10,45,17,0,"1","0"
7,41,12,2,"1","1"
9,43,19,0,"1","1"
5,37,14,4,"1","1"
3,35,18,7,"1","1"
7,38,14,4,"1","1"
6,38,18,0,"1","1"
9,44,16,2,"1","1"
3,47,16,0,"1","1"
8,49,17,0,"1","1"
7,37,23,10,"1","1"
10,40,14,0,"1","1"
7,48,14,4,"1","1"
6,45,13,0,"1","1"
10,46,13,0,"1","1"
9,37,16,6,"1","1"
7,43,15,0,"1","1"
5,41,23,8,"1","1"
3,46,15,2,"1","1"
5,37,13,2,"1","1"
11,49,12,4,"1","1"
2,37,17,7,"1","1"
7,36,14,5,"1","1"
9,41,14,8,"1","1"
6,39,17,0,"1","1"
5,38,12,6,"1","1"
4,46,21,7,"1","1"
5,42,13,0,"1","1"
3,42,17,3,"1","1"
13,44,14,8,"1","1"
8,38,12,0,"1","1"
6,45,15,0,"1","1"
5,37,16,6,"1","1"
4,37,18,5,"1","1"
